,movie,year,rating,metascore,votes
1111,American Sniper,2014,7.3,72,429852
1112,Divergent,2014,6.7,48,418361
1113,Fury,2014,7.6,64,415300
1114,The Amazing Spider-Man 2,2014,6.6,53,409385
1115,The Maze Runner,2014,6.8,57,408806
1116,Dawn of the Planet of the Apes,2014,7.6,79,406670
1117,The Hunger Games: Mockingjay - Part 1,2014,6.6,64,404449
1118,Big Hero 6,2014,7.8,74,400892
1119,The Theory of Everything,2014,7.7,72,390407
1120,Godzilla,2014,6.4,62,369833
1121,22 Jump Street,2014,7.0,71,339264
1122,The Fault in Our Stars,2014,7.7,69,337129
1123,Maleficent,2014,7.0,56,336622
1124,Boyhood,2014,7.9,100,330817
1125,The Equalizer,2014,7.2,57,325537
1126,The Lego Movie,2014,7.7,83,319341
1127,The Interview,2014,6.5,52,301908
1128,How to Train Your Dragon 2,2014,7.8,76,298429
1129,Transformers: Age of Extinction,2014,5.6,32,294802
1130,Neighbors,2014,6.3,68,280918
1131,300: Rise of an Empire,2014,6.2,48,276652
1132,Non-Stop,2014,6.9,56,246472
1133,Predestination,2014,7.5,69,245914
1134,Noah,2014,5.7,68,240007
1135,RoboCop,2014,6.1,52,213762
1136,Transcendence,2014,6.3,42,213723
1137,It Follows,2014,6.8,83,203307
1138,Teenage Mutant Ninja Turtles,2014,5.8,31,198614
1139,The Babadook,2014,6.8,86,190407
1140,Mad Max: Fury Road,2015,8.1,90,856627
1141,Star Wars: The Force Awakens,2015,7.9,80,845135
1142,The Martian,2015,8.0,80,740798
1143,Avengers: Age of Ultron,2015,7.3,66,722738
1144,The Revenant,2015,8.0,76,685022
1145,Inside Out,2015,8.1,94,592639
1146,Jurassic World,2015,7.0,59,569549
1147,Ant-Man,2015,7.3,64,553823
1148,The Hateful Eight,2015,7.8,68,499104
1149,Spotlight,2015,8.1,93,406884
1150,Spectre,2015,6.8,60,376168
1151,Sicario,2015,7.6,82,360636
1152,Room,2015,8.1,86,357198
1153,Fast & Furious 7,2015,7.1,67,353579
1154,The Big Short,2015,7.8,81,348923
1155,Mission: Impossible - Rogue Nation,2015,7.4,75,334551
1156,Fifty Shades of Grey,2015,4.1,46,293287
1157,Bridge of Spies,2015,7.6,81,281261
1158,The Hunger Games: Mockingjay - Part 2,2015,6.5,65,277430
1159,The Man from U.N.C.L.E.,2015,7.3,56,262647
1160,Terminator Genisys,2015,6.3,38,254825
1161,Creed,2015,7.6,82,241775
1162,Chappie,2015,6.8,41,226039
1163,Spy,2015,7.0,75,225983
1164,Maze Runner: The Scorch Trials,2015,6.3,43,216144
1165,Southpaw,2015,7.4,57,213246
1166,The Intern,2015,7.1,51,213031
1167,Insurgent,2015,6.2,42,212861
1168,Focus,2015,6.6,56,212474
1169,The Lobster,2015,7.2,82,210196
1170,Minions,2015,6.4,56,207796
1171,San Andreas,2015,6.1,43,207562
1172,Everest,2015,7.1,64,192988
1173,The VVitch: A New-England Folktale,2015,6.9,83,189068
1174,Ted 2,2015,6.3,48,180334
1175,Straight Outta Compton,2015,7.8,72,176188
1176,Jupiter Ascending,2015,5.3,40,175943
1177,Tomorrowland,2015,6.4,60,169590
1178,Black Mass,2015,6.9,68,164674
1179,The Danish Girl,2015,7.1,66,159729
1180,Cinderella,2015,6.9,67,155656
1181,Legend,2015,6.9,55,153754
1182,The Age of Adaline,2015,7.2,51,150676
1183,Steve Jobs,2015,7.2,82,150533
1184,Fantastic Four,2015,4.3,27,149224
1185,Mad Max: Fury Road,2015,8.1,90,856627
1186,Star Wars: The Force Awakens,2015,7.9,80,845135
1187,The Martian,2015,8.0,80,740798
1188,Avengers: Age of Ultron,2015,7.3,66,722738
1189,The Revenant,2015,8.0,76,685022
1190,Inside Out,2015,8.1,94,592639
1191,Jurassic World,2015,7.0,59,569549
1192,Ant-Man,2015,7.3,64,553823
1193,The Hateful Eight,2015,7.8,68,499104
1194,Spotlight,2015,8.1,93,406884
1195,Spectre,2015,6.8,60,376168
1196,Sicario,2015,7.6,82,360636
1197,Room,2015,8.1,86,357198
1198,Fast & Furious 7,2015,7.1,67,353579
1199,The Big Short,2015,7.8,81,348923
1200,Mission: Impossible - Rogue Nation,2015,7.4,75,334551
1201,Fifty Shades of Grey,2015,4.1,46,293287
1202,Bridge of Spies,2015,7.6,81,281261
1203,The Hunger Games: Mockingjay - Part 2,2015,6.5,65,277430
1204,The Man from U.N.C.L.E.,2015,7.3,56,262647
1205,Terminator Genisys,2015,6.3,38,254825
1206,Creed,2015,7.6,82,241775
1207,Chappie,2015,6.8,41,226039
1208,Spy,2015,7.0,75,225983
1209,Maze Runner: The Scorch Trials,2015,6.3,43,216144
1210,Southpaw,2015,7.4,57,213246
1211,The Intern,2015,7.1,51,213031
1212,Insurgent,2015,6.2,42,212861
1213,Focus,2015,6.6,56,212474
1214,The Lobster,2015,7.2,82,210196
1215,Minions,2015,6.4,56,207796
1216,San Andreas,2015,6.1,43,207562
1217,Everest,2015,7.1,64,192988
1218,The VVitch: A New-England Folktale,2015,6.9,83,189068
1219,Ted 2,2015,6.3,48,180334
1220,Straight Outta Compton,2015,7.8,72,176188
1221,Jupiter Ascending,2015,5.3,40,175943
1222,Tomorrowland,2015,6.4,60,169590
1223,Black Mass,2015,6.9,68,164674
1224,The Danish Girl,2015,7.1,66,159729
1225,Cinderella,2015,6.9,67,155656
1226,Legend,2015,6.9,55,153754
1227,The Age of Adaline,2015,7.2,51,150676
1228,Steve Jobs,2015,7.2,82,150533
1229,Fantastic Four,2015,4.3,27,149224
1230,Mad Max: Fury Road,2015,8.1,90,856627
1231,Star Wars: The Force Awakens,2015,7.9,80,845135
1232,The Martian,2015,8.0,80,740798
1233,Avengers: Age of Ultron,2015,7.3,66,722738
1234,The Revenant,2015,8.0,76,685022
1235,Inside Out,2015,8.1,94,592639
1236,Jurassic World,2015,7.0,59,569549
1237,Ant-Man,2015,7.3,64,553823
1238,The Hateful Eight,2015,7.8,68,499104
1239,Spotlight,2015,8.1,93,406884
1240,Spectre,2015,6.8,60,376168
1241,Sicario,2015,7.6,82,360636
1242,Room,2015,8.1,86,357198
1243,Fast & Furious 7,2015,7.1,67,353579
1244,The Big Short,2015,7.8,81,348923
1245,Mission: Impossible - Rogue Nation,2015,7.4,75,334551
1246,Fifty Shades of Grey,2015,4.1,46,293287
1247,Bridge of Spies,2015,7.6,81,281261
1248,The Hunger Games: Mockingjay - Part 2,2015,6.5,65,277430
1249,The Man from U.N.C.L.E.,2015,7.3,56,262647
1250,Terminator Genisys,2015,6.3,38,254825
1251,Creed,2015,7.6,82,241775
1252,Chappie,2015,6.8,41,226039
1253,Spy,2015,7.0,75,225983
1254,Maze Runner: The Scorch Trials,2015,6.3,43,216144
1255,Southpaw,2015,7.4,57,213246
1256,The Intern,2015,7.1,51,213031
1257,Insurgent,2015,6.2,42,212861
1258,Focus,2015,6.6,56,212474
1259,The Lobster,2015,7.2,82,210196
1260,Minions,2015,6.4,56,207796
1261,San Andreas,2015,6.1,43,207562
1262,Everest,2015,7.1,64,192988
1263,The VVitch: A New-England Folktale,2015,6.9,83,189068
1264,Ted 2,2015,6.3,48,180334
1265,Straight Outta Compton,2015,7.8,72,176188
1266,Jupiter Ascending,2015,5.3,40,175943
1267,Tomorrowland,2015,6.4,60,169590
1268,Black Mass,2015,6.9,68,164674
1269,The Danish Girl,2015,7.1,66,159729
1270,Cinderella,2015,6.9,67,155656
1271,Legend,2015,6.9,55,153754
1272,The Age of Adaline,2015,7.2,51,150676
1273,Steve Jobs,2015,7.2,82,150533
1274,Fantastic Four,2015,4.3,27,149224
1275,Mad Max: Fury Road,2015,8.1,90,856627
1276,Star Wars: The Force Awakens,2015,7.9,80,845135
1277,The Martian,2015,8.0,80,740798
1278,Avengers: Age of Ultron,2015,7.3,66,722738
1279,The Revenant,2015,8.0,76,685022
1280,Inside Out,2015,8.1,94,592639
1281,Jurassic World,2015,7.0,59,569549
1282,Ant-Man,2015,7.3,64,553823
1283,The Hateful Eight,2015,7.8,68,499104
1284,Spotlight,2015,8.1,93,406884
1285,Spectre,2015,6.8,60,376168
1286,Sicario,2015,7.6,82,360636
1287,Room,2015,8.1,86,357198
1288,Fast & Furious 7,2015,7.1,67,353579
1289,The Big Short,2015,7.8,81,348923
1290,Mission: Impossible - Rogue Nation,2015,7.4,75,334551
1291,Fifty Shades of Grey,2015,4.1,46,293287
1292,Bridge of Spies,2015,7.6,81,281261
1293,The Hunger Games: Mockingjay - Part 2,2015,6.5,65,277430
1294,The Man from U.N.C.L.E.,2015,7.3,56,262647
1295,Terminator Genisys,2015,6.3,38,254825
1296,Creed,2015,7.6,82,241775
1297,Chappie,2015,6.8,41,226039
1298,Spy,2015,7.0,75,225983
1299,Maze Runner: The Scorch Trials,2015,6.3,43,216144
1300,Southpaw,2015,7.4,57,213246
1301,The Intern,2015,7.1,51,213031
1302,Insurgent,2015,6.2,42,212861
1303,Focus,2015,6.6,56,212474
1304,The Lobster,2015,7.2,82,210196
1305,Minions,2015,6.4,56,207796
1306,San Andreas,2015,6.1,43,207562
1307,Everest,2015,7.1,64,192988
1308,The VVitch: A New-England Folktale,2015,6.9,83,189068
1309,Ted 2,2015,6.3,48,180334
1310,Straight Outta Compton,2015,7.8,72,176188
1311,Jupiter Ascending,2015,5.3,40,175943
1312,Tomorrowland,2015,6.4,60,169590
1313,Black Mass,2015,6.9,68,164674
1314,The Danish Girl,2015,7.1,66,159729
1315,Cinderella,2015,6.9,67,155656
1316,Legend,2015,6.9,55,153754
1317,The Age of Adaline,2015,7.2,51,150676
1318,Steve Jobs,2015,7.2,82,150533
1319,Fantastic Four,2015,4.3,27,149224
1320,Mad Max: Fury Road,2015,8.1,90,856627
1321,Star Wars: The Force Awakens,2015,7.9,80,845135
1322,The Martian,2015,8.0,80,740798
1323,Avengers: Age of Ultron,2015,7.3,66,722738
1324,The Revenant,2015,8.0,76,685022
1325,Inside Out,2015,8.1,94,592639
1326,Jurassic World,2015,7.0,59,569549
1327,Ant-Man,2015,7.3,64,553823
1328,The Hateful Eight,2015,7.8,68,499104
1329,Spotlight,2015,8.1,93,406884
1330,Spectre,2015,6.8,60,376168
1331,Sicario,2015,7.6,82,360636
1332,Room,2015,8.1,86,357198
1333,Fast & Furious 7,2015,7.1,67,353579
1334,The Big Short,2015,7.8,81,348923
1335,Mission: Impossible - Rogue Nation,2015,7.4,75,334551
1336,Fifty Shades of Grey,2015,4.1,46,293287
1337,Bridge of Spies,2015,7.6,81,281261
1338,The Hunger Games: Mockingjay - Part 2,2015,6.5,65,277430
1339,The Man from U.N.C.L.E.,2015,7.3,56,262647
1340,Terminator Genisys,2015,6.3,38,254825
1341,Creed,2015,7.6,82,241775
1342,Chappie,2015,6.8,41,226039
1343,Spy,2015,7.0,75,225983
1344,Maze Runner: The Scorch Trials,2015,6.3,43,216144
1345,Southpaw,2015,7.4,57,213246
1346,The Intern,2015,7.1,51,213031
1347,Insurgent,2015,6.2,42,212861
1348,Focus,2015,6.6,56,212474
1349,The Lobster,2015,7.2,82,210196
1350,Minions,2015,6.4,56,207796
1351,San Andreas,2015,6.1,43,207562
1352,Everest,2015,7.1,64,192988
1353,The VVitch: A New-England Folktale,2015,6.9,83,189068
1354,Ted 2,2015,6.3,48,180334
1355,Straight Outta Compton,2015,7.8,72,176188
1356,Jupiter Ascending,2015,5.3,40,175943
1357,Tomorrowland,2015,6.4,60,169590
1358,Black Mass,2015,6.9,68,164674
1359,The Danish Girl,2015,7.1,66,159729
1360,Cinderella,2015,6.9,67,155656
1361,Legend,2015,6.9,55,153754
1362,The Age of Adaline,2015,7.2,51,150676
1363,Steve Jobs,2015,7.2,82,150533
1364,Fantastic Four,2015,4.3,27,149224
1365,Deadpool,2016,8.0,65,882097
1366,Captain America: Civil War,2016,7.8,75,644287
1367,Batman v Superman: Dawn of Justice,2016,6.4,44,612589
1368,Suicide Squad,2016,6.0,40,586583
1369,Doctor Strange,2016,7.5,72,578738
1370,Arrival,2016,7.9,81,575700
1371,Rogue One,2016,7.8,65,538672
1372,La La Land,2016,8.0,94,488147
1373,Zootopia,2016,8.0,78,421200
1374,Hacksaw Ridge,2016,8.1,71,418394
1375,Split,2016,7.3,62,408299
1376,Fantastic Beasts and Where to Find Them,2016,7.3,66,398572
1377,X-Men: Apocalypse,2016,6.9,52,384906
1378,Passengers,2016,7.0,41,340524
1379,10 Cloverfield Lane,2016,7.2,76,283216
1380,The Nice Guys,2016,7.4,70,270153
1381,Moonlight,2016,7.4,99,263585
1382,Moana,2016,7.6,81,260916
1383,The Jungle Book,2016,7.4,77,254957
1384,The Accountant,2016,7.3,51,253685
1385,Now You See Me 2,2016,6.5,46,240804
1386,Manchester by the Sea,2016,7.8,96,238481
1387,Warcraft,2016,6.8,32,238102
1388,Finding Dory,2016,7.3,77,233614
1389,Sully,2016,7.4,74,229981
1390,Nocturnal Animals,2016,7.5,67,229432
1391,Star Trek Beyond,2016,7.1,68,223300
1392,The Conjuring 2,2016,7.3,65,218079
1393,Don't Breathe,2016,7.1,71,212777
1394,Lion,2016,8.0,69,206755
1395,Jason Bourne,2016,6.6,58,203955
1396,Me Before You,2016,7.4,51,200117
1397,Ghostbusters,2016,5.2,60,200077
1398,Hell or High Water,2016,7.6,88,198304
1399,Hidden Figures,2016,7.8,74,193354
1400,Captain Fantastic,2016,7.9,72,182055
1401,Assassin's Creed,2016,5.7,36,181438
1402,The Magnificent Seven,2016,6.9,54,181240
1403,The Secret Life of Pets,2016,6.5,61,179238
1404,Kimi no na wa.,2016,8.4,79,178494
1405,War Dogs,2016,7.1,57,172248
1406,Sausage Party,2016,6.1,66,171987
1407,The Promise,2016,6.0,49,167369
1408,The Girl on the Train,2016,6.5,48,164892
1409,Independence Day: Resurgence,2016,5.2,32,163992
1410,The Legend of Tarzan,2016,6.2,44,160623
1411,Deadpool,2016,8.0,65,882097
1412,Captain America: Civil War,2016,7.8,75,644287
1413,Batman v Superman: Dawn of Justice,2016,6.4,44,612589
1414,Suicide Squad,2016,6.0,40,586583
1415,Doctor Strange,2016,7.5,72,578738
1416,Arrival,2016,7.9,81,575700
1417,Rogue One,2016,7.8,65,538672
1418,La La Land,2016,8.0,94,488147
1419,Zootopia,2016,8.0,78,421200
1420,Hacksaw Ridge,2016,8.1,71,418394
1421,Split,2016,7.3,62,408299
1422,Fantastic Beasts and Where to Find Them,2016,7.3,66,398572
1423,X-Men: Apocalypse,2016,6.9,52,384906
1424,Passengers,2016,7.0,41,340524
1425,10 Cloverfield Lane,2016,7.2,76,283216
1426,The Nice Guys,2016,7.4,70,270153
1427,Moonlight,2016,7.4,99,263585
1428,Moana,2016,7.6,81,260916
1429,The Jungle Book,2016,7.4,77,254957
1430,The Accountant,2016,7.3,51,253685
1431,Now You See Me 2,2016,6.5,46,240804
1432,Manchester by the Sea,2016,7.8,96,238481
1433,Warcraft,2016,6.8,32,238102
1434,Finding Dory,2016,7.3,77,233614
1435,Sully,2016,7.4,74,229981
1436,Nocturnal Animals,2016,7.5,67,229432
1437,Star Trek Beyond,2016,7.1,68,223300
1438,The Conjuring 2,2016,7.3,65,218079
1439,Don't Breathe,2016,7.1,71,212777
1440,Lion,2016,8.0,69,206755
1441,Jason Bourne,2016,6.6,58,203955
1442,Me Before You,2016,7.4,51,200117
1443,Ghostbusters,2016,5.2,60,200077
1444,Hell or High Water,2016,7.6,88,198304
1445,Hidden Figures,2016,7.8,74,193354
1446,Captain Fantastic,2016,7.9,72,182055
1447,Assassin's Creed,2016,5.7,36,181438
1448,The Magnificent Seven,2016,6.9,54,181240
1449,The Secret Life of Pets,2016,6.5,61,179238
1450,Kimi no na wa.,2016,8.4,79,178494
1451,War Dogs,2016,7.1,57,172248
1452,Sausage Party,2016,6.1,66,171987
1453,The Promise,2016,6.0,49,167369
1454,The Girl on the Train,2016,6.5,48,164892
1455,Independence Day: Resurgence,2016,5.2,32,163992
1456,The Legend of Tarzan,2016,6.2,44,160623
1457,Deadpool,2016,8.0,65,882097
1458,Captain America: Civil War,2016,7.8,75,644287
1459,Batman v Superman: Dawn of Justice,2016,6.4,44,612589
1460,Suicide Squad,2016,6.0,40,586583
1461,Doctor Strange,2016,7.5,72,578738
1462,Arrival,2016,7.9,81,575700
1463,Rogue One,2016,7.8,65,538672
1464,La La Land,2016,8.0,94,488147
1465,Zootopia,2016,8.0,78,421200
1466,Hacksaw Ridge,2016,8.1,71,418394
1467,Split,2016,7.3,62,408299
1468,Fantastic Beasts and Where to Find Them,2016,7.3,66,398572
1469,X-Men: Apocalypse,2016,6.9,52,384906
1470,Passengers,2016,7.0,41,340524
1471,10 Cloverfield Lane,2016,7.2,76,283216
1472,The Nice Guys,2016,7.4,70,270153
1473,Moonlight,2016,7.4,99,263585
1474,Moana,2016,7.6,81,260916
1475,The Jungle Book,2016,7.4,77,254957
1476,The Accountant,2016,7.3,51,253685
1477,Now You See Me 2,2016,6.5,46,240804
1478,Manchester by the Sea,2016,7.8,96,238481
1479,Warcraft,2016,6.8,32,238102
1480,Finding Dory,2016,7.3,77,233614
1481,Sully,2016,7.4,74,229981
1482,Nocturnal Animals,2016,7.5,67,229432
1483,Star Trek Beyond,2016,7.1,68,223300
1484,The Conjuring 2,2016,7.3,65,218079
1485,Don't Breathe,2016,7.1,71,212777
1486,Lion,2016,8.0,69,206755
1487,Jason Bourne,2016,6.6,58,203955
1488,Me Before You,2016,7.4,51,200117
1489,Ghostbusters,2016,5.2,60,200077
1490,Hell or High Water,2016,7.6,88,198304
1491,Hidden Figures,2016,7.8,74,193354
1492,Captain Fantastic,2016,7.9,72,182055
1493,Assassin's Creed,2016,5.7,36,181438
1494,The Magnificent Seven,2016,6.9,54,181240
1495,The Secret Life of Pets,2016,6.5,61,179238
1496,Kimi no na wa.,2016,8.4,79,178494
1497,War Dogs,2016,7.1,57,172248
1498,Sausage Party,2016,6.1,66,171987
1499,The Promise,2016,6.0,49,167369
1500,The Girl on the Train,2016,6.5,48,164892
1501,Independence Day: Resurgence,2016,5.2,32,163992
1502,The Legend of Tarzan,2016,6.2,44,160623
1503,Deadpool,2016,8.0,65,882097
1504,Captain America: Civil War,2016,7.8,75,644287
1505,Batman v Superman: Dawn of Justice,2016,6.4,44,612589
1506,Suicide Squad,2016,6.0,40,586583
1507,Doctor Strange,2016,7.5,72,578738
1508,Arrival,2016,7.9,81,575700
1509,Rogue One,2016,7.8,65,538672
1510,La La Land,2016,8.0,94,488147
1511,Zootopia,2016,8.0,78,421200
1512,Hacksaw Ridge,2016,8.1,71,418394
1513,Split,2016,7.3,62,408299
1514,Fantastic Beasts and Where to Find Them,2016,7.3,66,398572
1515,X-Men: Apocalypse,2016,6.9,52,384906
1516,Passengers,2016,7.0,41,340524
1517,10 Cloverfield Lane,2016,7.2,76,283216
1518,The Nice Guys,2016,7.4,70,270153
1519,Moonlight,2016,7.4,99,263585
1520,Moana,2016,7.6,81,260916
1521,The Jungle Book,2016,7.4,77,254957
1522,The Accountant,2016,7.3,51,253685
1523,Now You See Me 2,2016,6.5,46,240804
1524,Manchester by the Sea,2016,7.8,96,238481
1525,Warcraft,2016,6.8,32,238102
1526,Finding Dory,2016,7.3,77,233614
1527,Sully,2016,7.4,74,229981
1528,Nocturnal Animals,2016,7.5,67,229432
1529,Star Trek Beyond,2016,7.1,68,223300
1530,The Conjuring 2,2016,7.3,65,218079
1531,Don't Breathe,2016,7.1,71,212777
1532,Lion,2016,8.0,69,206755
1533,Jason Bourne,2016,6.6,58,203955
1534,Me Before You,2016,7.4,51,200117
1535,Ghostbusters,2016,5.2,60,200077
1536,Hell or High Water,2016,7.6,88,198304
1537,Hidden Figures,2016,7.8,74,193354
1538,Captain Fantastic,2016,7.9,72,182055
1539,Assassin's Creed,2016,5.7,36,181438
1540,The Magnificent Seven,2016,6.9,54,181240
1541,The Secret Life of Pets,2016,6.5,61,179238
1542,Kimi no na wa.,2016,8.4,79,178494
1543,War Dogs,2016,7.1,57,172248
1544,Sausage Party,2016,6.1,66,171987
1545,The Promise,2016,6.0,49,167369
1546,The Girl on the Train,2016,6.5,48,164892
1547,Independence Day: Resurgence,2016,5.2,32,163992
1548,The Legend of Tarzan,2016,6.2,44,160623
1549,Deadpool,2016,8.0,65,882097
1550,Captain America: Civil War,2016,7.8,75,644287
1551,Batman v Superman: Dawn of Justice,2016,6.4,44,612589
1552,Suicide Squad,2016,6.0,40,586583
1553,Doctor Strange,2016,7.5,72,578738
1554,Arrival,2016,7.9,81,575700
1555,Rogue One,2016,7.8,65,538672
1556,La La Land,2016,8.0,94,488147
1557,Zootopia,2016,8.0,78,421200
1558,Hacksaw Ridge,2016,8.1,71,418394
1559,Split,2016,7.3,62,408299
1560,Fantastic Beasts and Where to Find Them,2016,7.3,66,398572
1561,X-Men: Apocalypse,2016,6.9,52,384906
1562,Passengers,2016,7.0,41,340524
1563,10 Cloverfield Lane,2016,7.2,76,283216
1564,The Nice Guys,2016,7.4,70,270153
1565,Moonlight,2016,7.4,99,263585
1566,Moana,2016,7.6,81,260916
1567,The Jungle Book,2016,7.4,77,254957
1568,The Accountant,2016,7.3,51,253685
1569,Now You See Me 2,2016,6.5,46,240804
1570,Manchester by the Sea,2016,7.8,96,238481
1571,Warcraft,2016,6.8,32,238102
1572,Finding Dory,2016,7.3,77,233614
1573,Sully,2016,7.4,74,229981
1574,Nocturnal Animals,2016,7.5,67,229432
1575,Star Trek Beyond,2016,7.1,68,223300
1576,The Conjuring 2,2016,7.3,65,218079
1577,Don't Breathe,2016,7.1,71,212777
1578,Lion,2016,8.0,69,206755
1579,Jason Bourne,2016,6.6,58,203955
1580,Me Before You,2016,7.4,51,200117
1581,Ghostbusters,2016,5.2,60,200077
1582,Hell or High Water,2016,7.6,88,198304
1583,Hidden Figures,2016,7.8,74,193354
1584,Captain Fantastic,2016,7.9,72,182055
1585,Assassin's Creed,2016,5.7,36,181438
1586,The Magnificent Seven,2016,6.9,54,181240
1587,The Secret Life of Pets,2016,6.5,61,179238
1588,Kimi no na wa.,2016,8.4,79,178494
1589,War Dogs,2016,7.1,57,172248
1590,Sausage Party,2016,6.1,66,171987
1591,The Promise,2016,6.0,49,167369
1592,The Girl on the Train,2016,6.5,48,164892
1593,Independence Day: Resurgence,2016,5.2,32,163992
1594,The Legend of Tarzan,2016,6.2,44,160623
1595,Logan,2017,8.1,77,627557
1596,Thor: Ragnarok,2017,7.9,74,564568
1597,Guardians of the Galaxy Vol. 2,2017,7.6,67,550234
1598,Star Wars: The Last Jedi,2017,7.0,84,547826
1599,Wonder Woman,2017,7.4,76,535969
1600,Dunkirk,2017,7.9,94,531500
1601,Spider-Man: Homecoming,2017,7.4,73,494104
1602,Get Out,2017,7.7,85,472449
1603,It,2017,7.3,69,442769
1604,Blade Runner 2049,2017,8.0,81,440939
1605,Baby Driver,2017,7.6,86,422627
1606,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,411739
1607,Justice League,2017,6.3,45,371126
1608,The Shape of Water,2017,7.3,87,357614
1609,Coco,2017,8.4,81,352526
1610,John Wick: Chapter 2,2017,7.5,75,352078
1611,Jumanji: Welcome to the Jungle,2017,6.9,58,308749
1612,Beauty and the Beast,2017,7.1,65,264007
1613,Kingsman: The Golden Circle,2017,6.7,44,262346
1614,Kong: Skull Island,2017,6.6,62,262008
1615,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,254639
1616,Alien: Covenant,2017,6.4,65,248109
1617,Lady Bird,2017,7.4,94,228848
1618,The Greatest Showman,2017,7.6,48,226562
1619,War for the Planet of the Apes,2017,7.4,82,222186
1620,Murder on the Orient Express,2017,6.5,52,203271
1621,Life,2017,6.6,54,202385
1622,The Fate of the Furious,2017,6.7,56,199401
1623,Call Me by Your Name,2017,7.9,93,199391
1624,Wind River,2017,7.7,73,195540
1625,Ghost in the Shell,2017,6.3,52,191550
1626,King Arthur: Legend of the Sword,2017,6.7,41,187088
1627,Mother!,2017,6.6,75,184679
1628,The Hitman's Bodyguard,2017,6.9,47,181099
1629,"I, Tonya",2017,7.5,77,173264
1630,Atomic Blonde,2017,6.7,63,171066
1631,The Mummy,2017,5.4,34,169136
1632,Darkest Hour,2017,7.4,75,165722
1633,Bright,2017,6.3,29,164644
1634,Valerian and the City of a Thousand Planets,2017,6.5,51,157571
1635,Baywatch,2017,5.5,37,156282
1636,American Made,2017,7.2,65,153397
1637,Logan,2017,8.1,77,627557
1638,Thor: Ragnarok,2017,7.9,74,564568
1639,Guardians of the Galaxy Vol. 2,2017,7.6,67,550234
1640,Star Wars: The Last Jedi,2017,7.0,84,547826
1641,Wonder Woman,2017,7.4,76,535969
1642,Dunkirk,2017,7.9,94,531500
1643,Spider-Man: Homecoming,2017,7.4,73,494104
1644,Get Out,2017,7.7,85,472449
1645,It,2017,7.3,69,442769
1646,Blade Runner 2049,2017,8.0,81,440939
1647,Baby Driver,2017,7.6,86,422627
1648,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,411739
1649,Justice League,2017,6.3,45,371126
1650,The Shape of Water,2017,7.3,87,357614
1651,Coco,2017,8.4,81,352526
1652,John Wick: Chapter 2,2017,7.5,75,352078
1653,Jumanji: Welcome to the Jungle,2017,6.9,58,308749
1654,Beauty and the Beast,2017,7.1,65,264007
1655,Kingsman: The Golden Circle,2017,6.7,44,262346
1656,Kong: Skull Island,2017,6.6,62,262008
1657,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,254639
1658,Alien: Covenant,2017,6.4,65,248109
1659,Lady Bird,2017,7.4,94,228848
1660,The Greatest Showman,2017,7.6,48,226562
1661,War for the Planet of the Apes,2017,7.4,82,222186
1662,Murder on the Orient Express,2017,6.5,52,203271
1663,Life,2017,6.6,54,202385
1664,The Fate of the Furious,2017,6.7,56,199401
1665,Call Me by Your Name,2017,7.9,93,199391
1666,Wind River,2017,7.7,73,195540
1667,Ghost in the Shell,2017,6.3,52,191550
1668,King Arthur: Legend of the Sword,2017,6.7,41,187088
1669,Mother!,2017,6.6,75,184679
1670,The Hitman's Bodyguard,2017,6.9,47,181099
1671,"I, Tonya",2017,7.5,77,173264
1672,Atomic Blonde,2017,6.7,63,171066
1673,The Mummy,2017,5.4,34,169136
1674,Darkest Hour,2017,7.4,75,165722
1675,Bright,2017,6.3,29,164644
1676,Valerian and the City of a Thousand Planets,2017,6.5,51,157571
1677,Baywatch,2017,5.5,37,156282
1678,American Made,2017,7.2,65,153397
1679,Logan,2017,8.1,77,627557
1680,Thor: Ragnarok,2017,7.9,74,564568
1681,Guardians of the Galaxy Vol. 2,2017,7.6,67,550234
1682,Star Wars: The Last Jedi,2017,7.0,84,547826
1683,Wonder Woman,2017,7.4,76,535969
1684,Dunkirk,2017,7.9,94,531500
1685,Spider-Man: Homecoming,2017,7.4,73,494104
1686,Get Out,2017,7.7,85,472449
1687,It,2017,7.3,69,442769
1688,Blade Runner 2049,2017,8.0,81,440939
1689,Baby Driver,2017,7.6,86,422627
1690,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,411739
1691,Justice League,2017,6.3,45,371126
1692,The Shape of Water,2017,7.3,87,357614
1693,Coco,2017,8.4,81,352526
1694,John Wick: Chapter 2,2017,7.5,75,352078
1695,Jumanji: Welcome to the Jungle,2017,6.9,58,308749
1696,Beauty and the Beast,2017,7.1,65,264007
1697,Kingsman: The Golden Circle,2017,6.7,44,262346
1698,Kong: Skull Island,2017,6.6,62,262008
1699,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,254639
1700,Alien: Covenant,2017,6.4,65,248109
1701,Lady Bird,2017,7.4,94,228848
1702,The Greatest Showman,2017,7.6,48,226562
1703,War for the Planet of the Apes,2017,7.4,82,222186
1704,Murder on the Orient Express,2017,6.5,52,203271
1705,Life,2017,6.6,54,202385
